,Federal adjusted gross income,Gender
0,124644,2
1,0,1
2,40289,1
3,0,2
4,40002,2
5,0,2
6,8424,1
7,58011,2
8,0,1
9,0,1
10,0,2
11,0,1
12,0,1
13,0,2
14,115010,2
15,0,1
16,0,1
17,0,2
18,0,1
19,0,2
20,0,2
21,0,2
22,15000,1
23,2451,1
24,0,2
25,22000,2
26,0,1
27,0,2
28,6250,1
29,0,2
30,28000,2
31,0,1
32,0,2
33,25000,1
34,0,1
35,22000,2
36,0,2
37,0,1
38,0,2
39,0,2
40,0,2
41,40872,1
42,12000,2
43,150000,1
44,0,2
45,0,1
46,70002,2
47,0,1
48,0,2
49,0,1
50,41003,2
51,153013,2
52,0,1
53,4201,2
54,71262,2
55,0,1
56,20501,1
57,10450,2
58,10452,1
59,0,2
60,96281,2
61,0,1
62,0,2
63,0,2
64,0,1
65,9000,2
66,7000,1
67,0,2
68,0,1
69,0,1
70,0,1
71,129340,2
72,0,1
73,0,2
74,0,1
75,0,2
76,0,2
77,0,1
78,10496,1
79,17428,2
80,0,1
81,72025,2
82,59247,1
83,0,2
84,4706,2
85,0,1
86,65006,1
87,0,1
88,50063,1
89,0,2
90,167325,2
91,0,1
92,43000,1
93,5777,2
94,51637,1
95,0,2
96,0,2
97,29281,2
98,0,1
99,67985,1
100,0,2
101,3655,1
102,0,2
103,34654,1
104,0,2
105,55000,1
106,13754,2
107,1568,1
108,0,2
109,64041,2
110,0,1
111,0,2
112,0,1
113,0,1
114,0,2
115,93550,1
116,0,2
117,91405,1
118,0,2
119,36013,1
120,0,2
121,173926,1
122,0,2
123,45500,1
124,80000,2
125,74563,1
126,0,2
127,16000,1
128,53300,2
129,0,2
130,0,1
131,47200,2
132,0,1
133,0,1
134,10496,1
135,16721,1
136,0,2
137,2002,1
138,0,1
139,96010,2
140,0,1
141,0,2
142,19010,2
143,0,2
144,9294,2
145,0,1
146,0,2
147,297966,1
148,0,2
149,2800,1
150,0,1
151,0,2
152,155003,1
153,0,2
154,0,1
155,0,2
156,329359,1
157,107203,1
158,0,2
159,31649,2
160,10459,1
161,0,2
162,13321,1
163,39033,2
164,0,1
165,0,2
166,0,2
167,27030,1
168,25390,2
169,16809,1
170,0,2
171,2836,2
172,44000,2
173,0,2
174,52052,2
175,0,1
176,0,1
177,21003,1
178,0,2
179,0,2
180,0,1
181,74339,2
182,0,1
183,29368,2
184,87834,2
185,0,1
186,0,2
187,9049,1
188,24001,2
189,0,2
190,231379,2
191,0,1
192,36543,1
193,0,2
194,0,1
195,4800,2
196,90205,2
197,0,1
198,30006,1
199,0,2
200,22658,1
201,0,2
202,12000,2
203,0,2
204,0,1
205,65050,2
206,0,1
207,0,2
208,0,1
209,26000,2
210,0,1
211,0,1
212,0,2
213,0,2
214,24000,2
215,24000,2
216,2000,2
217,27030,1
218,12876,2
219,0,2
220,28010,2
221,7920,1
222,0,2
223,22115,2
224,32100,2
225,63857,1
226,0,2
227,25081,1
228,30268,2
229,0,1
230,46822,1
231,0,2
232,85859,1
233,3011,1
234,4006,2
235,35061,2
236,38230,2
237,23121,2
238,20690,1
239,0,2
240,0,1
241,6093,1
242,0,2
243,0,1
244,0,2
245,0,1
246,39002,2
247,0,1
248,0,1
249,87198,2
250,0,1
251,0,1
252,0,2
253,25649,2
254,38380,1
255,35000,2
256,52148,1
257,0,2
258,51060,1
259,0,2
260,8500,1
261,247658,2
262,0,1
263,38000,2
264,0,2
265,20902,1
266,54000,1
267,28000,2
268,0,1
269,99562,1
270,0,2
271,58000,1
272,35000,1
273,0,2
274,36640,2
275,0,1
276,20800,1
277,0,1
278,13011,2
279,98436,1
280,0,2
281,33551,2
282,0,1
283,36001,1
284,106053,2
285,0,1
286,0,1
287,0,2
288,122741,2
289,0,1
290,121745,1
291,0,2
292,0,2
293,177600,2
294,0,1
295,186243,1
296,0,2
297,20000,2
298,0,1
299,0,1
300,0,1
301,0,2
302,29003,1
303,29502,1
304,29001,1
305,0,2
306,0,2
307,21000,2
308,0,1
309,109869,2
310,0,1
311,0,2
312,59424,2
313,45257,2
314,0,1
315,0,2
316,0,2
317,0,2
318,68703,1
319,0,2
320,38400,2
321,80954,1
322,50603,2
323,190680,2
324,0,1
325,0,2
326,61033,1
327,47813,1
328,60141,2
329,51591,1
330,0,2
331,11560,1
332,18305,2
333,33000,2
334,0,1
335,0,2
336,65951,2
337,0,1
338,0,2
339,0,2
340,0,1
341,99404,2
342,0,1
343,0,1
344,0,1
345,0,2
346,45501,1
347,0,1
348,0,2
349,66015,2
350,40513,1
351,185515,1
352,0,1
353,68061,2
354,45469,1
355,62507,1
356,0,2
357,60000,1
358,32510,2
359,0,1
360,0,2
361,0,1
362,72198,2
363,0,1
364,99169,2
365,0,1
366,133902,2
367,0,1
368,15005,2
369,17575,2
370,0,1
371,38432,2
372,0,1
373,0,2
374,0,1
375,18567,1
376,6531,1
377,0,2
378,144027,1
379,0,2
380,68102,2
381,2400,1
382,32050,1
383,40002,2
384,32000,1
385,0,2
386,46001,1
387,0,1
388,0,2
389,23200,2
390,40312,2
391,0,1
392,0,1
393,46200,2
394,38105,1
395,78215,1
396,0,1
397,0,1
398,79589,1
399,0,2
400,0,1
401,241505,1
402,0,2
403,46861,1
404,4357,2
405,0,1
406,92541,1
407,0,1
408,53000,2
409,0,1
410,4400,2
411,2500,2
412,65503,1
413,0,2
414,0,1
415,15000,2
416,0,2
417,35068,1
418,42721,2
419,0,1
420,0,2
421,0,1
422,69327,1
423,0,2
424,10000,1
425,192642,2
426,0,1
427,0,1
428,0,1
429,40587,2
430,101134,2
431,0,1
432,0,1
433,60400,1
434,0,2
435,31349,1
436,0,2
437,2171,2
438,35900,2
439,0,1
440,0,2
441,0,2
442,0,2
